Tid,Temperatur,Fuktighet,Trykk,Vindhastighet
27.05.25 - 02:00,5.6,91.4,1001.4,2.0
27.05.25 - 03:00,5.7,90.9,1001.5,1.8
27.05.25 - 04:00,7.2,86.7,1001.4,0.6
27.05.25 - 05:00,8.7,80.2,1001.6,0.7
27.05.25 - 06:00,10.1,70.2,1001.4,1.2
27.05.25 - 07:00,11.7,63.2,1001.2,1.1
27.05.25 - 08:00,12.4,76.7,1000.9,2.5
27.05.25 - 09:00,13.0,78.1,1000.8,3.4
27.05.25 - 10:00,14.2,69.2,1000.2,3.1
27.05.25 - 11:00,15.7,62.3,999.8,2.3
27.05.25 - 12:00,17.8,45.7,999.6,5.1
27.05.25 - 13:00,18.6,43.9,999.0,4.7
27.05.25 - 14:00,18.5,45.0,998.5,4.8
27.05.25 - 15:00,18.4,45.8,998.1,4.7
27.05.25 - 16:00,17.5,48.3,997.9,5.4
27.05.25 - 17:00,16.5,51.5,997.9,5.4
27.05.25 - 18:00,15.1,61.1,998.3,5.7
27.05.25 - 19:00,13.7,72.3,998.5,3.6
27.05.25 - 20:00,12.4,84.6,998.4,1.6
27.05.25 - 21:00,11.5,90.2,998.4,1.1
27.05.25 - 22:00,10.7,88.9,998.3,1.4
27.05.25 - 23:00,10.2,91.9,998.4,0.6
28.05.25 - 00:00,9.8,93.4,998.5,1.3
28.05.25 - 01:00,9.7,93.1,998.9,2.8
28.05.25 - 02:00,9.6,91.1,999.1,1.4
28.05.25 - 03:00,9.6,94.0,999.3,1.7
28.05.25 - 04:00,9.9,93.2,999.6,2.4
28.05.25 - 05:00,10.4,91.3,1000.1,2.7
28.05.25 - 06:00,10.9,90.4,1000.6,2.9
28.05.25 - 07:00,11.7,87.6,1001.1,2.9
28.05.25 - 08:00,12.3,80.7,1001.6,2.7
28.05.25 - 09:00,13.1,71.1,1002.1,2.2
28.05.25 - 10:00,13.8,66.7,1002.3,2.5
28.05.25 - 11:00,14.1,74.0,1003.0,1.8
28.05.25 - 12:00,14.3,80.1,1003.6,1.7
28.05.25 - 13:00,14.9,68.7,1003.9,0.9
28.05.25 - 14:00,14.9,58.1,1004.1,2.4
28.05.25 - 15:00,14.8,59.1,1004.4,3.3
28.05.25 - 16:00,14.2,64.6,1004.7,2.4
28.05.25 - 17:00,14.0,67.5,1005.4,1.9
28.05.25 - 18:00,12.9,75.1,1006.3,3.6
28.05.25 - 19:00,12.2,78.1,1006.9,0.8
28.05.25 - 20:00,11.5,84.0,1007.5,0.9
28.05.25 - 21:00,10.2,89.7,1008.2,0.9
28.05.25 - 22:00,9.2,90.5,1008.8,1.5
28.05.25 - 23:00,8.3,89.9,1009.4,2.0
29.05.25 - 00:00,8.0,86.3,1009.9,2.4
29.05.25 - 01:00,7.6,86.7,1010.3,2.5
29.05.25 - 02:00,7.5,83.7,1010.7,3.0
29.05.25 - 03:00,7.8,80.5,1011.1,2.8
29.05.25 - 04:00,8.5,74.9,1011.3,2.7
29.05.25 - 05:00,9.7,69.4,1011.6,2.8
29.05.25 - 06:00,11.1,59.4,1011.6,3.0
29.05.25 - 12:00,14.7,62.1,1009.5,1.8
29.05.25 - 18:00,13.7,75.2,1007.8,1.9
30.05.25 - 00:00,9.9,85.5,1005.2,1.7
30.05.25 - 06:00,10.9,82.4,1003.1,1.9
30.05.25 - 12:00,13.2,77.5,1004.5,3.5
30.05.25 - 18:00,11.1,86.4,1008.4,4.2
31.05.25 - 00:00,9.4,92.1,1010.9,3.8
31.05.25 - 06:00,8.9,87.8,1013.6,3.0
31.05.25 - 12:00,11.6,72.9,1015.8,3.4
31.05.25 - 18:00,12.9,65.0,1015.4,2.3
01.06.25 - 00:00,7.7,86.3,1013.8,1.6
01.06.25 - 06:00,10.7,72.1,1009.7,2.4
01.06.25 - 12:00,18.6,51.8,1005.2,3.0
01.06.25 - 18:00,16.9,67.1,1002.6,2.7
02.06.25 - 00:00,11.7,93.6,1002.3,2.1
02.06.25 - 06:00,11.9,90.8,1001.1,1.5
02.06.25 - 12:00,15.1,71.8,1000.7,2.5
02.06.25 - 18:00,14.1,85.3,1000.4,2.5
03.06.25 - 00:00,10.6,91.3,1002.0,2.1
03.06.25 - 06:00,10.7,90.3,1003.0,2.3
03.06.25 - 12:00,14.0,78.5,1004.2,2.7
03.06.25 - 18:00,14.1,72.4,1006.7,2.4
04.06.25 - 00:00,10.2,84.3,1004.7,2.1
04.06.25 - 06:00,12.3,74.8,1006.0,2.6
04.06.25 - 12:00,17.4,61.2,1001.4,3.2
04.06.25 - 18:00,17.0,74.3,1000.5,2.9
05.06.25 - 00:00,12.1,86.6,999.0,2.6
05.06.25 - 06:00,11.8,89.9,997.8,2.6
05.06.25 - 12:00,15.8,55.3,999.8,2.8
05.06.25 - 18:00,15.4,75.0,1006.4,2.5
06.06.25 - 00:00,11.3,92.4,1003.9,2.5
